key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	references	license	isSequenced	associatedSequences	identifiers	media	facts	relations	isInCluster	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	taxonConceptID	locality	gbifID	occurrenceRemarks	occurrenceID	taxonID	depth	waterBody	higherGeography	modified	institutionKey	catalogNumber	vernacularName	institutionID	institutionCode	language	collectionCode	type	higherClassification	collectionID	networkKeys	individualCount	decimalLatitude	decimalLongitude	depthAccuracy	continent	stateProvince	collectionKey	datasetName	identifiedBy	preparations	geodeticDatum	verbatimEventDate	georeferenceProtocol	verbatimCoordinateSystem	locationID	sex	recordedBy	lifeStage	county	fieldNumber	verbatimDepth
3351221366	d8cd16ba-bb74-4420-821e-083f2bac17c2	ada9d123-ddb4-467d-8891-806ea8d94230	17a83780-3060-4851-9d6f-029d5fcb81c9	fbca90e3-8aed-48b1-84e3-369afbd000ce	GB	EML	2024-07-20T12:06:08.628+00:00	2024-07-20T12:49:43.668+00:00	175	{}	MATERIAL_SAMPLE	PRESENT	8351910	1	54	354	9477065	4338615	2118315	8351910	8351910	Ascorhynchus auchenicus (Slater, 1879)	Ascorhynchus auchenicus (Slater, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus auchenicus	Ascorhynchus	auchenicus	SPECIES	ACCEPTED	NE	{}	2013.0	1.0	17.0	2013-01-17	17.0	17.0	['TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-20T12:49:43.668+00:00	https://www.ebi.ac.uk/ena/browser/view/LC010685	http://creativecommons.org/licenses/by/4.0/legalcode	True	https://www.ebi.ac.uk/ena/browser/api/embl/LC010685	[{'identifier': 'LC010685'}]	[]	[]	[]	False	Pycnogonida	JP	[]	[]	ASIA	Japan	EUROPE	LC010685	https://www.ebi.ac.uk/ena/browser/view/Taxon:424457	Wakayama, Shirahama	3351221366	Ascorhynchus auchenicum gene for 18S rRNA, partial sequence.	LC010685	ASV:60ff1355634f1050d79fb5d98cb964c2																																				
1830879031	86939734-f762-11e1-a439-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-12T19:58:14.444+00:00	2024-01-24T21:32:53.815+00:00	273	{}	PRESERVED_SPECIMEN	PRESENT	8351910	1	54	354	9477065	4338615	2118315	8351910	8351910	Ascorhynchus auchenicus (Slater, 1879)	Ascorhynchus auchenicus (Slater, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus auchenicus	Ascorhynchus	auchenicus	SPECIES	ACCEPTED	NE	{}	1997.0	5.0	13.0	1997-05-13	133.0	133.0	['TAXON_MATCH_FUZZY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-01-24T21:32:53.815+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': 'a378a75c-f8a4-11e6-85d8-70e2840fc270'}]	[]	[]	[]	False	Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	a378a75c-f8a4-11e6-85d8-70e2840fc270			1830879031		a378a75c-f8a4-11e6-85d8-70e2840fc270		100.0	Wakasa Bay	Wakasa Bay|Japan	2022-02-17T00:00:00.000+00:00	876d009e-4933-421a-8441-369637d21128	5556	フタトゲトックリウミグモ近似種	institutionID	OMNH	en	Ar	text	Animalia|ARTHROPODA|PYCNOGONIDEA|PANTOPODA|Ammotheidae|Ascorhynchus|cf.	collectionID																						
1320181399	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:03.404+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	8351910	1	54	354	9477065	4338615	2118315	8351910	8351910	Ascorhynchus auchenicus (Slater, 1879)	Ascorhynchus auchenicus (Slater, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus auchenicus	Ascorhynchus	auchenicus	SPECIES	ACCEPTED	NE	{}	1971.0	2.0	1.0	1971-02-01	32.0	32.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:03.404+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': 'http://n2t.net/ark:/65665/383c1967f-7d1e-4316-a7df-8a6ee5c4770b'}]	[]	[]	[]	False	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/383c1967f-7d1e-4316-a7df-8a6ee5c4770b		Honshu Island, Sagami Bay	1320181399		http://n2t.net/ark:/65665/383c1967f-7d1e-4316-a7df-8a6ee5c4770b		295.0	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	2014-10-20T15:14:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	USNM 183896		urn:lsid:biocol.org:col:34871	USNM		IZ		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	2.0	34.9767	139.173	5.0	ASIA	Shizuoka	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Nakamura, K.; Child, C. A.	Alcohol (Ethanol)	WGS84	01 FEB 1971	unknown, from legacy	Degrees Minutes Seconds	KT71-2-29						
1321207615	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:13.364+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	8351910	1	54	354	9477065	4338615	2118315	8351910	8351910	Ascorhynchus auchenicus (Slater, 1879)	Ascorhynchus auchenicus (Slater, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus auchenicus	Ascorhynchus	auchenicus	SPECIES	ACCEPTED	NE	{}	1970.0	5.0	22.0	1970-05-22	142.0	142.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:13.364+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': 'http://n2t.net/ark:/65665/3b120f2b8-309a-48eb-b887-7da6e64e1cca'}]	[]	[]	[]	False	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/3b120f2b8-309a-48eb-b887-7da6e64e1cca		Honshu Island, Sagami Bay, Off Kisami	1321207615		http://n2t.net/ark:/65665/3b120f2b8-309a-48eb-b887-7da6e64e1cca		30.0	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	2014-10-20T15:14:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	USNM 183890		urn:lsid:biocol.org:col:34871	USNM		IZ		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	8.0			0.0		Shizuoka	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Nakamura, K.; Child, C. A.	Alcohol (Ethanol)		22 MAY 1970				FEMALE	K. Nakamura				
1318784613	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:01.287+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	8351910	1	54	354	9477065	4338615	2118315	8351910	8351910	Ascorhynchus auchenicus (Slater, 1879)	Ascorhynchus auchenicus (Slater, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus auchenicus	Ascorhynchus	auchenicus	SPECIES	ACCEPTED	NE	{}	1970.0	9.0	1.0	1970-09-01	244.0	244.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:01.287+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': 'http://n2t.net/ark:/65665/345f3174a-2c7d-4be4-a8aa-11408670617d'}]	[]	[]	[]	False	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/345f3174a-2c7d-4be4-a8aa-11408670617d		Honshu Island, Sagami Bay, Off Kisami	1318784613		http://n2t.net/ark:/65665/345f3174a-2c7d-4be4-a8aa-11408670617d		30.0	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	2014-10-20T15:14:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	USNM 183891		urn:lsid:biocol.org:col:34871	USNM		IZ		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	6.0			0.0		Shizuoka	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Nakamura, K.; Child, C. A.	Alcohol (Ethanol)		01 SEP 1970				FEMALE	K. Nakamura				
1319514314	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:58.871+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	8351910	1	54	354	9477065	4338615	2118315	8351910	8351910	Ascorhynchus auchenicus (Slater, 1879)	Ascorhynchus auchenicus (Slater, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus auchenicus	Ascorhynchus	auchenicus	SPECIES	ACCEPTED	NE	{}	1969.0	7.0	14.0	1969-07-14	195.0	195.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:58.871+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': 'http://n2t.net/ark:/65665/36643a2f7-aff7-4ba9-8a90-719659c2b72d'}]	[]	[]	[]	False	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/36643a2f7-aff7-4ba9-8a90-719659c2b72d		Honshu Island, Sagami Bay	1319514314		http://n2t.net/ark:/65665/36643a2f7-aff7-4ba9-8a90-719659c2b72d		63.0	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	2014-10-20T15:14:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	USNM 183894		urn:lsid:biocol.org:col:34871	USNM		IZ		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	2.0	34.625	138.95	9.0	ASIA	Shizuoka	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Nakamura, K.; Child, C. A.	Alcohol (Ethanol)	WGS84	14 JUL 1969	unknown, from legacy	Degrees Minutes Seconds	KT69-12-14			Juvenile			
1321193020	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:38.025+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	8351910	1	54	354	9477065	4338615	2118315	8351910	8351910	Ascorhynchus auchenicus (Slater, 1879)	Ascorhynchus auchenicus (Slater, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus auchenicus	Ascorhynchus	auchenicus	SPECIES	ACCEPTED	NE	{}	1969.0	7.0	17.0	1969-07-17	198.0	198.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:38.025+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': 'http://n2t.net/ark:/65665/3b07b7fb8-c3f9-43f0-ac00-12df659887bf'}]	[]	[]	[]	False	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/3b07b7fb8-c3f9-43f0-ac00-12df659887bf		Honshu Island, Sagami Bay	1321193020		http://n2t.net/ark:/65665/3b07b7fb8-c3f9-43f0-ac00-12df659887bf		113.0	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	2014-10-20T15:14:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	USNM 183895		urn:lsid:biocol.org:col:34871	USNM		IZ		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	15.0	35.015	139.143	0.0	ASIA	Shizuoka	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Nakamura, K.; Child, C. A.	Alcohol (Ethanol)	WGS84	17 JUL 1969	unknown, from legacy	Degrees Minutes Seconds	KT69-12-21						
1321605303	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:13.433+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	8351910	1	54	354	9477065	4338615	2118315	8351910	8351910	Ascorhynchus auchenicus (Slater, 1879)	Ascorhynchus auchenicus (Slater, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus auchenicus	Ascorhynchus	auchenicus	SPECIES	ACCEPTED	NE	{}	1969.0	7.0	13.0	1969-07-13	194.0	194.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:13.433+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': 'http://n2t.net/ark:/65665/3c2b391f9-5353-4b53-b488-7829e8165f75'}]	[]	[]	[]	False	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/3c2b391f9-5353-4b53-b488-7829e8165f75		Honshu Island, Suruga Bay	1321605303		http://n2t.net/ark:/65665/3c2b391f9-5353-4b53-b488-7829e8165f75		80.0	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	2014-10-20T15:14:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	USNM 183892		urn:lsid:biocol.org:col:34871	USNM		IZ		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	11.0	34.6633	138.76	5.0	ASIA	Shizuoka	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Nakamura, K.; Child, C. A.	Alcohol (Ethanol)	WGS84	13 JUL 1969	unknown, from legacy	Degrees Minutes Seconds	KT69-12-5						
1322767046	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:09.679+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	8351910	1	54	354	9477065	4338615	2118315	8351910	8351910	Ascorhynchus auchenicus (Slater, 1879)	Ascorhynchus auchenicus (Slater, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus auchenicus	Ascorhynchus	auchenicus	SPECIES	ACCEPTED	NE	{}	1969.0	7.0	14.0	1969-07-14	195.0	195.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:09.679+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': 'http://n2t.net/ark:/65665/3f62d7333-5a7d-42eb-8b26-cde5ab9a511f'}]	[]	[]	[]	False	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/3f62d7333-5a7d-42eb-8b26-cde5ab9a511f		Honshu Island, Sagami Bay	1322767046		http://n2t.net/ark:/65665/3f62d7333-5a7d-42eb-8b26-cde5ab9a511f		85.0	North Pacific Ocean	North Pacific Ocean, Japan, Shizuoka	2014-10-20T15:14:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	USNM 183893		urn:lsid:biocol.org:col:34871	USNM		IZ		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	2.0	34.57	138.868	9.0	ASIA	Shizuoka	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Nakamura, K.; Child, C. A.	Alcohol (Ethanol)	WGS84	14 JUL 1969	unknown, from legacy	Degrees Minutes Seconds	KT69-12-9						
