key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetName	recordedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	scientificNameID	institutionCode	locationID	footprintWKT	gbifID	language	collectionCode	occurrenceID	sex	individualCount	depthAccuracy	waterBody	higherGeography	typeStatus	modified	institutionKey	collectionKey	identifiedBy	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	fieldNumber	higherClassification	collectionID	continent
4081087622	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.425+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-44.6833	174.3483	500.0	859.0	{}	1979.0	10.0	25.0	1979-10-25	298.0	298.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.425+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5eacba7a-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	NZOI	Specimen(s), Unknown = 3	Trawl, Agassiz medium	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5eacba7a-fa36-11e2-96b3-aa6f927c92a3	4953	urn:lsid:marinespecies.org:taxname:266341	NIWA Invertebrate Collection	S148	POINT (174.3483 -44.6833)	4081087622	en	NIWA	5eacba7a-fa36-11e2-96b3-aa6f927c92a3																			
4081062183	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.236+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-44.5017	174.3133	500.0	760.0	{}	1979.0	10.0	25.0	1979-10-25	298.0	298.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:23.236+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5ef4b9d8-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	NZOI	Specimen(s), Unknown = 11	Trawl, Agassiz medium	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5ef4b9d8-fa36-11e2-96b3-aa6f927c92a3	4954	urn:lsid:marinespecies.org:taxname:266341	NIWA Invertebrate Collection	S147	POINT (174.3133 -44.5017)	4081062183	en	NIWA	5ef4b9d8-fa36-11e2-96b3-aa6f927c92a3																			
4081072190	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.572+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-44.59	174.8267	500.0	785.0	{}	1979.0	10.0	24.0	1979-10-24	297.0	297.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.572+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5f9354e4-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	NZOI	Specimen(s), Unknown = 3	Trawl, Menzies	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5f9354e4-fa36-11e2-96b3-aa6f927c92a3	4951	urn:lsid:marinespecies.org:taxname:266341	NIWA Invertebrate Collection	S138	POINT (174.8267 -44.59)	4081072190	en	NIWA	5f9354e4-fa36-11e2-96b3-aa6f927c92a3	FEMALE																		
1321954272	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:11.479+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-49.667	178.892		508.0	{}	1967.0	1.0	3.0	1967-01-03	3.0	3.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:11.479+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3d2345874-c226-4b49-adc1-91aefb403761'}]	[]	[]	[]	False	NMNH Extant Biology	University of Southern California	Alcohol (Ethanol)		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	NORTH_AMERICA	http://n2t.net/ark:/65665/3d2345874-c226-4b49-adc1-91aefb403761	USNM 234607		USNM	1851		1321954272		IZ	http://n2t.net/ark:/65665/3d2345874-c226-4b49-adc1-91aefb403761	FEMALE	4.0	32.0	South Pacific Ocean	South Pacific Ocean, New Zealand	PARATYPE	2014-10-21T10:24:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	urn:lsid:biocol.org:col:34871	03 JAN 1967	unknown, from legacy	Antipodes Islands, west of islands	Degrees Minutes Seconds	USARP/EL/27/1851/USC	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	
1322048469	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:51.582+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-49.667	178.892		508.0	{}	1967.0	1.0	3.0	1967-01-03	3.0	3.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:51.582+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3d6654586-770b-49e9-95e2-e8efd411aaa7'}]	[]	[]	[]	False	NMNH Extant Biology	University of Southern California	Alcohol (Ethanol)		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	NORTH_AMERICA	http://n2t.net/ark:/65665/3d6654586-770b-49e9-95e2-e8efd411aaa7	USNM 234606		USNM	1851		1322048469		IZ	http://n2t.net/ark:/65665/3d6654586-770b-49e9-95e2-e8efd411aaa7	MALE	1.0	32.0	South Pacific Ocean	South Pacific Ocean, New Zealand	HOLOTYPE	2014-10-21T10:24:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	urn:lsid:biocol.org:col:34871	03 JAN 1967	unknown, from legacy	Antipodes Islands, west of islands	Degrees Minutes Seconds	USARP/EL/27/1851/USC	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	
318004707	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:20.895+00:00	124	{}	OCCURRENCE	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-49.6666	178.8833		508.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:20.895+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22602'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		22602		BAS			318004707		SOMBASE Pycnogonids				32.0																
318004708	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:20.895+00:00	124	{}	OCCURRENCE	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-51.0	162.0166		352.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:20.895+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22603'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		22603		BAS			318004708		SOMBASE Pycnogonids				19.0																
318004709	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:20.895+00:00	124	{}	OCCURRENCE	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-54.5	158.9833		118.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:20.895+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22604'}]	[]	[]	[]	False					WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	EUROPE		22604		BAS			318004709		SOMBASE Pycnogonids				6.0																OCEANIA
318004710	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:20.900+00:00	124	{}	OCCURRENCE	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-52.1416	169.7283		91.5	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:20.900+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22605'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		22605		BAS			318004710		SOMBASE Pycnogonids				0.5																
318004711	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:20.900+00:00	124	{}	OCCURRENCE	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-44.59	174.8266		785.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:20.900+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22606'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		22606		BAS			318004711		SOMBASE Pycnogonids				0.0																
318004712	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:20.898+00:00	124	{}	OCCURRENCE	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-44.5016	174.3133		760.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:20.898+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22607'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		22607		BAS			318004712		SOMBASE Pycnogonids				0.0																
318004713	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:20.898+00:00	124	{}	OCCURRENCE	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-44.6833	174.3483		859.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:20.898+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22608'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		22608		BAS			318004713		SOMBASE Pycnogonids				0.0																
318004907	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.050+00:00	124	{}	OCCURRENCE	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-44.59	174.8266		785.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:24.050+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34070'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		34070		BAS			318004907		SOMBASE Pycnogonids				0.0																
318004908	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.050+00:00	124	{}	OCCURRENCE	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-44.5016	174.3133		760.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:24.050+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34071'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		34071		BAS			318004908		SOMBASE Pycnogonids				0.0																
318004909	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.051+00:00	124	{}	OCCURRENCE	PRESENT	2117937	1	54	354	9477065	6314	2117918	2117937	2117937	Austrodecus fryi Child, 1994	Austrodecus fryi Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus fryi	Austrodecus	fryi	SPECIES	ACCEPTED	NE	-44.6833	174.3483		859.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:24.051+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34072'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		34072		BAS			318004909		SOMBASE Pycnogonids				0.0																
