key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	datasetID	datasetName	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	habitat	institutionID	nomenclaturalCode	georeferenceProtocol	locality	fieldNumber	collectionCode	gbifID	occurrenceID	catalogNumber	organismID	institutionCode	locationID	ownerInstitutionCode	accessRights	higherClassification	collectionID	networkKeys	waterBody	collectionKey	preparations	samplingProtocol	eventID	verbatimDepth	parentEventID	typeStatus	nameAccordingTo
1065142496	005eb8d8-ed94-41be-89cf-e3115a9058e4	7b8aff00-a9f8-11d8-944b-b8a03c50a862	3b84ff5b-79ce-427c-acb7-b4004e160f66	7b8aff00-a9f8-11d8-944b-b8a03c50a862	US	EML	2024-07-16T20:28:16.318+00:00	2024-07-16T20:35:00.718+00:00	376	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117622	1	54	354	9477065	2013	2117621	2117622	2117622	Heteronymphon bioculatum Turpaeva, 1956	Heteronymphon bioculatum Turpaeva, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon bioculatum	Heteronymphon	bioculatum	SPECIES	ACCEPTED	NE	2005-01-01T00:00:00	47.7106	-127.7883	2642.0	0.0	{}	North Pacific, International Waters: Baby Bare. [LL]	2003	7	3	2003-07-03	184	184	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2023-11-20T15:13:00.000+00:00	2024-07-16T20:35:00.718+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ce899171-723b-40d9-b720-79597908231a'}]	[]	[]	[]	e71f36f1-e271-4720-a604-3c5a1418e7aa	False	invertebrates-16-Jul-2024	FMNH Invertebrate Zoology	J. R. Voight	Dr. Roger Bamber	WGS84	Pycnogonida	CA	[]	[]	NORTH_AMERICA	Canada	NORTH_AMERICA	The Field Museum of Natural History	ce899171-723b-40d9-b720-79597908231a	on Oak or Fir blocks that were deployed in 5 Sept. 2002	FMNH	ICZN	Collector assigned	Baby Bare	VOIJASII-03-1	Invertebrate Zoology	1065142496	ce899171-723b-40d9-b720-79597908231a	11710	407961	FMNH	7648df38-4545-40e6-8cbe-19e69119539b	FMNH	https://www.fieldmuseum.org/about/copyright-information	Animalia Arthropoda Pycnogonida Pantopoda Nymphonidae	Invertebrate Zoology										
115721861	83c964d4-f762-11e1-a439-00145eb45e9a	09a9c196-cb5b-4fa1-afc2-3499b868b225	600df7c6-f762-11e1-a439-00145eb45e9a	0e0fc0f0-828e-11d8-b7ed-b8a03c50a862	CA	DWC_ARCHIVE	2024-07-02T02:48:55.594+00:00	2024-07-02T02:49:19.415+00:00	302	{}	OCCURRENCE		PRESENT	2117622	1	54	354	9477065	2013	2117621	2117622	2117622	Heteronymphon bioculatum Turpaeva, 1956	Heteronymphon bioculatum Turpaeva, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon bioculatum	Heteronymphon	bioculatum	SPECIES	ACCEPTED	NE		55.34	-134.82	1100.0		{}		1969	5	22	1969-05-22	142	142	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'BASIS_OF_RECORD_INVALID']		2024-07-02T02:49:19.415+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '115721861'}]	[]	[]	[]		False					WGS84	Pycnogonida	CA	[]	[]	NORTH_AMERICA	Canada	NORTH_AMERICA									GHI	115721861		3000-29012		BIO						['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']									
4444205496	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.797+00:00	69	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117622	1	54	354	9477065	2013	2117621	2117622	2117622	Heteronymphon bioculatum Turpaeva, 1956	Heteronymphon bioculatum Turpaeva, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon bioculatum	Heteronymphon	bioculatum	SPECIES	ACCEPTED	NE		59.2676971	-141.9997255			{}		1969	5	11	1969-05-11	131	131	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']		2024-06-18T12:44:58.797+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '8426cbfc-bf34-4e9d-9566-3ea138e5cd72'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False			RV Vityaz	Turpaeva, Elena	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	EUROPE		8426cbfc-bf34-4e9d-9566-3ea138e5cd72		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86			Yakutat bay transect	6101	OBFc	4444205496	8426cbfc-bf34-4e9d-9566-3ea138e5cd72	INV0002792		IORAS		IORAS			fd699988-ab5d-4737-9443-9085cea191d2	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Pacific Ocean	fd699988-ab5d-4737-9443-9085cea191d2	EtOH 75%	Sigsbee Trawl	RV Vityaz_cruise 45_st.6101	798.0 - 756.0 m	cruise 45		
4444205983	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.960+00:00	69	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117622	1	54	354	9477065	2013	2117621	2117622	2117622	Heteronymphon bioculatum Turpaeva, 1956	Heteronymphon bioculatum Turpaeva, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon bioculatum	Heteronymphon	bioculatum	SPECIES	ACCEPTED	NE		55.3341911	-134.8312354			{}		1969	5	22	1969-05-22	142	142	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']		2024-06-18T12:44:58.960+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'da1e26a5-b337-46fc-a818-594fefd0ba73'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False			RV Vityaz	Turpaeva, Elena	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	EUROPE		da1e26a5-b337-46fc-a818-594fefd0ba73		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86			Prince of Wales is. Transect	6127	OBFc	4444205983	da1e26a5-b337-46fc-a818-594fefd0ba73	INV0002793		IORAS		IORAS			fd699988-ab5d-4737-9443-9085cea191d2	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Pacific Ocean	fd699988-ab5d-4737-9443-9085cea191d2	EtOH 75%	Sigsbee Trawl	RV Vityaz_cruise 45_st.6127	1340.0 - 1370.0 m	cruise 45		
4444205361	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.041+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117622	1	54	354	9477065	2013	2117621	2117622	2117622	Heteronymphon bioculatum Turpaeva, 1956	Heteronymphon bioculatum Turpaeva, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon bioculatum	Heteronymphon	bioculatum	SPECIES	ACCEPTED	NE		58.9154713	-142.047527			{}		1969	5	12	1969-05-12	132	132	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']		2024-06-18T12:44:59.041+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'dc3da6b5-2179-411c-b265-08c928c811c7'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False			RV Vityaz	Turpaeva, Elena	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	EUROPE		dc3da6b5-2179-411c-b265-08c928c811c7		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86			Yakutat bay transect	6105	OBFc	4444205361	dc3da6b5-2179-411c-b265-08c928c811c7	INV0002795		IORAS		IORAS			fd699988-ab5d-4737-9443-9085cea191d2	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Pacific Ocean	fd699988-ab5d-4737-9443-9085cea191d2	EtOH 75%	Sigsbee Trawl	RV Vityaz_cruise 45_st.6105	2980.0 - 2970.0 m	cruise 45		
4444205340	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.737+00:00	69	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2117622	1	54	354	9477065	2013	2117621	2117622	2117622	Heteronymphon bioculatum Turpaeva, 1956	Heteronymphon bioculatum Turpaeva, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon bioculatum	Heteronymphon	bioculatum	SPECIES	ACCEPTED	NE		-16.068054	-139.7821333			{}		1961	10	1	1961-10-01	274	274	['COORDINATE_REPROJECTED']		2024-06-18T12:44:58.737+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'bf078aec-8b7e-424b-8960-b7ab192f9f83'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False			RV Vityaz	Turpaeva, Elena	WGS84	Pycnogonida	PF	[]	[]	OCEANIA	French Polynesia	EUROPE		bf078aec-8b7e-424b-8960-b7ab192f9f83		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86			West Pacific	5106	OBFc	4444205340	bf078aec-8b7e-424b-8960-b7ab192f9f83	INV0002794		IORAS		IORAS			fd699988-ab5d-4737-9443-9085cea191d2	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Pacific Ocean	fd699988-ab5d-4737-9443-9085cea191d2	EtOH 75%		RV Vityaz_cruise 34_st.5106		cruise 34		
4444206071	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.249+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117622	1	54	354	9477065	2013	2117621	2117622	2117622	Heteronymphon bioculatum Turpaeva, 1956	Heteronymphon bioculatum Turpaeva, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon bioculatum	Heteronymphon	bioculatum	SPECIES	ACCEPTED	NE		57.0497989	168.5024897			{}		1950	9	25	1950-09-25	268	268	['COORDINATE_REPROJECTED']		2024-06-18T12:44:59.249+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '12e05b2a-aef0-4741-ab56-b08059a2a5fe'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	True			RV Vityaz	Turpaeva, Elena	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE		12e05b2a-aef0-4741-ab56-b08059a2a5fe		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86			Bering Sea, Northwest Pacific	618	OBFc	4444206071	12e05b2a-aef0-4741-ab56-b08059a2a5fe	INV0002796		IORAS		IORAS			fd699988-ab5d-4737-9443-9085cea191d2	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Bering Sea	fd699988-ab5d-4737-9443-9085cea191d2	EtOH 75%	Sigsbee Trawl	RV Vityaz_cruise 5_st.618	3875.0 m	cruise 5		
4406604423	062b1492-5e8a-4b56-89f9-300bc06bba5d	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-04-16T14:00:19.862+00:00	2024-04-16T14:00:44.060+00:00	141	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117622	1	54	354	9477065	2013	2117621	2117622	2117622	Heteronymphon bioculatum Turpaeva, 1956	Heteronymphon bioculatum Turpaeva, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon bioculatum	Heteronymphon	bioculatum	SPECIES	ACCEPTED	NE		57.0497989	168.5024897			{}		1950	9	25	1950-09-25	268	268	['COORDINATE_REPROJECTED']		2024-04-16T14:00:44.060+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '19889259-fdb0-49ce-b82e-c8239a24863d'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0002244.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	True			RV Vityaz	Turpaeva, Elena	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE		19889259-fdb0-49ce-b82e-c8239a24863d		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86			Bering Sea, Northwest Pacific	618	OBFc	4406604423	19889259-fdb0-49ce-b82e-c8239a24863d	INV0002244		IORAS		IORAS			fd699988-ab5d-4737-9443-9085cea191d2		Bering Sea	fd699988-ab5d-4737-9443-9085cea191d2	slide	Sigsbee Trawl	RV Vityaz_cruise 5_st.618	3875.0 m	cruise 5	PARATYPE	Turpaeva, E.P. (1956). Pantopoda of the genus Heteronymphon from the North-West of the Pacific. Bulletin of Moscow Society of Naturalists. Biological series 61(2): 67-72
4399691371	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.221+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117622	1	54	354	9477065	2013	2117621	2117622	2117622	Heteronymphon bioculatum Turpaeva, 1956	Heteronymphon bioculatum Turpaeva, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon bioculatum	Heteronymphon	bioculatum	SPECIES	ACCEPTED	NE		57.0497989	168.5024897			{}		1950	9	25	1950-09-25	268	268	['COORDINATE_REPROJECTED']		2024-06-18T12:44:59.221+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '19889259-fdb0-49ce-b82e-c8239a24863d'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0002244.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0002244label.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	True			RV Vityaz	Turpaeva, Elena	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE		19889259-fdb0-49ce-b82e-c8239a24863d		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86			Bering Sea, Northwest Pacific	618	OBFc	4399691371	19889259-fdb0-49ce-b82e-c8239a24863d	INV0002244		IORAS		IORAS			fd699988-ab5d-4737-9443-9085cea191d2	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Bering Sea	fd699988-ab5d-4737-9443-9085cea191d2	slide	Sigsbee Trawl	RV Vityaz_cruise 5_st.618	3875.0 m	cruise 5	PARATYPE	Turpaeva, E.P. (1956). Pantopoda of the genus Heteronymphon from the North-West of the Pacific. Bulletin of Moscow Society of Naturalists. Biological series 61(2): 67-72
4444433318	062b1492-5e8a-4b56-89f9-300bc06bba5d	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-04-16T14:00:19.862+00:00	2024-04-16T14:00:44.241+00:00	141	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117622	1	54	354	9477065	2013	2117621	2117622	2117622	Heteronymphon bioculatum Turpaeva, 1956	Heteronymphon bioculatum Turpaeva, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon bioculatum	Heteronymphon	bioculatum	SPECIES	ACCEPTED	NE		48.8249081	153.1101077			{}		1948	10	6	1948-10-06	280	280	['COORDINATE_REPROJECTED', 'COUNTRY_DERIVED_FROM_COORDINATES']		2024-04-16T14:00:44.241+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'a310b99e-e61b-4ab1-ae78-95f5c08b8440'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003281.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003281label.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	True			RV Vityaz	Turpaeva, Elena	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE		a310b99e-e61b-4ab1-ae78-95f5c08b8440		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86			nortwest Pacific	149	OBFc	4444433318	a310b99e-e61b-4ab1-ae78-95f5c08b8440	INV0003281		IORAS		IORAS			fd699988-ab5d-4737-9443-9085cea191d2		Pacific Ocean	fd699988-ab5d-4737-9443-9085cea191d2	EtOH 75%	Sigsbee Trawl	RV Vityaz_cruise 2_st.149	2901.0 m	cruise 2	HOLOTYPE	Turpaeva, E.P. (1956). Pantopoda of the genus Heteronymphon from the North-West of the Pacific. Bulletin of Moscow Society of Naturalists. Biological series 61(2): 67-72
4444205999	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.231+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117622	1	54	354	9477065	2013	2117621	2117622	2117622	Heteronymphon bioculatum Turpaeva, 1956	Heteronymphon bioculatum Turpaeva, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon bioculatum	Heteronymphon	bioculatum	SPECIES	ACCEPTED	NE		48.8249081	153.1101077			{}		1948	10	6	1948-10-06	280	280	['COORDINATE_REPROJECTED']		2024-06-18T12:44:59.231+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'a310b99e-e61b-4ab1-ae78-95f5c08b8440'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003281.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003281label.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	True			RV Vityaz	Turpaeva, Elena	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE		a310b99e-e61b-4ab1-ae78-95f5c08b8440		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86			nortwest Pacific	149	OBFc	4444205999	a310b99e-e61b-4ab1-ae78-95f5c08b8440	INV0003281		IORAS		IORAS			fd699988-ab5d-4737-9443-9085cea191d2	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Pacific Ocean	fd699988-ab5d-4737-9443-9085cea191d2	EtOH 75%	Sigsbee Trawl	RV Vityaz_cruise 2_st.149	2901.0 m	cruise 2	HOLOTYPE	Turpaeva, E.P. (1956). Pantopoda of the genus Heteronymphon from the North-West of the Pacific. Bulletin of Moscow Society of Naturalists. Biological series 61(2): 67-72
4444205828	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.912+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117622	1	54	354	9477065	2013	2117621	2117622	2117622	Heteronymphon bioculatum Turpaeva, 1956	Heteronymphon bioculatum Turpaeva, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon bioculatum	Heteronymphon	bioculatum	SPECIES	ACCEPTED	NE		48.8249081	153.1101077			{}		1948	10	6	1948-10-06	280	280	['COORDINATE_REPROJECTED']		2024-06-18T12:44:58.912+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'ac2c30d8-b3b1-4a50-8cf1-ddc4e7f4e897'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	True			RV Vityaz	Turpaeva, Elena	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE		ac2c30d8-b3b1-4a50-8cf1-ddc4e7f4e897		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86			nortwest Pacific	149	OBFc	4444205828	ac2c30d8-b3b1-4a50-8cf1-ddc4e7f4e897	INV0002797		IORAS		IORAS			fd699988-ab5d-4737-9443-9085cea191d2	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Pacific Ocean	fd699988-ab5d-4737-9443-9085cea191d2	EtOH 75%	Sigsbee Trawl	RV Vityaz_cruise 2_st.149	2901.0 m	cruise 2		
