key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	locality	gbifID	collectionCode	occurrenceID	taxonID	networkKeys	individualCount	depth	depthAccuracy	modified	fieldNumber	collectionID	island	waterBody	preparations	samplingProtocol	eventID	institutionID	verbatimDepth	ownerInstitutionCode	parentEventID	recordNumber	occurrenceRemarks	georeferenceSources	sex	higherGeography	datasetName	verbatimEventDate	georeferenceProtocol	verbatimCoordinateSystem	locationID	higherClassification	rightsHolder	nomenclaturalCode	otherCatalogNumbers	dynamicProperties	references	associatedSequences	taxonConceptID	continent	typeStatus	datasetID	scientificNameID	bibliographicCitation
3924102168	3e0e4ec9-1905-4cae-9691-c0fa79361ac3	2e72d790-2a3f-4cd8-a2e2-428c34ecee47	06d75b22-fc7a-42ff-a14f-65a25cd0f3ab	cdcc4ce1-7f6e-4ed2-b47c-eb451925b038	PT	EML	2023-11-25T06:27:35.248+00:00	2024-01-24T17:38:25.924+00:00	75	{}	PRESERVED_SPECIMEN	PRESENT	2117229	1	54	354	9477065	2014	2117211	2117229	2117229	Pycnogonum africanum Calman, 1938	Pycnogonum africanum Calman, 1938	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum africanum	Pycnogonum	africanum	SPECIES	ACCEPTED	NE	-24.21567	35.69417	{}	2009.0	4.0	15.0	2009-04-15	105.0	105.0	['TAXON_MATCH_TAXON_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2024-01-24T17:38:25.924+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '6dd2b053-85b4-460f-b96a-660e3c9978a6'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet, Rosado & Strong coll.	Macpherson, Rodríguez-Flores & Machordom	WGS84	Pycnogonida	MZ	[]	[]	AFRICA	Mozambique	EUROPE	6dd2b053-85b4-460f-b96a-660e3c9978a6	2014-13552	MNHN	Inhambane transect	3924102168	IU	6dd2b053-85b4-460f-b96a-660e3c9978a6	2117229																																							
1270750924	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:51.095+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1938', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pycnogonum;Pycnogonidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Calman, 1938', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|321605', 'http://rs.tdwg.org/dwc/terms/family': 'Pycnogonidae', 'http://rs.tdwg.org/dwc/terms/subgenus': 'Nulloviger', 'http://rs.tdwg.org/dwc/terms/genus': 'Pycnogonum', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'africanum', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|239419', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pycnogonum (Nulloviger) africanum Calman, 1938'}]}	PRESERVED_SPECIMEN	PRESENT	2117229	1	54	354	9477065	2014	2117211	2117229	2117229	Pycnogonum africanum Calman, 1938	Pycnogonum africanum Calman, 1938	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum africanum	Pycnogonum	africanum	SPECIES	ACCEPTED	NE	-24.21567	35.69417	{}	2009.0	4.0	15.0	2009-04-15	105.0	105.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:51.095+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2014-10216'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet, Rosado & Strong coll.	Sabroux R.	WGS84	Pycnogonida	ZZ	[]	[]		unknown or invalid	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2014-10216	2014-10216	MNHN	Inhambane transect	1270750924	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2014-10216		['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	1.0	505.5	0.5	2022-02-16T16:33:14.000+00:00	MAINBAZA/CC3164	10.15468/qgvvhd																																
442597092	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:40.984+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1938', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pycnogonum;Pycnogonidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Calman, 1938', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|498881', 'http://rs.tdwg.org/dwc/terms/family': 'Pycnogonidae', 'http://rs.tdwg.org/dwc/terms/subgenus': 'Nulloviger', 'http://rs.tdwg.org/dwc/terms/genus': 'Pycnogonum', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'africanum', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|239419', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pycnogonum (Nulloviger) africanum Calman, 1938'}, {'http://rs.tdwg.org/dwc/terms/higherClassification': 'Gen.;Arthropoda', 'http://rs.tdwg.org/dwc/terms/genus': 'Gen.', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'sp.', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '0', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|5732', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|70786', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Corbari L.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Gen. sp.'}], 'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by-nc-nd', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1415857560488AdLisJhsFOjxDjac'}, {'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by-nc-nd', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1415857562215Qu1NwQ4iyOWINvIw'}, {'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by-nc-nd', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/14158575685845YXzVpkM7YwD6kwH'}]}	PRESERVED_SPECIMEN	PRESENT	2117229	1	54	354	9477065	2014	2117211	2117229	2117229	Pycnogonum africanum Calman, 1938	Pycnogonum africanum Calman, 1938	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum africanum	Pycnogonum	africanum	SPECIES	ACCEPTED	NE	-12.7145	48.237	{}	2009.0	6.0	29.0	2009-06-29	180.0	180.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:40.984+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-104'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by-nc-nd/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1415857560488AdLisJhsFOjxDjac'}, {'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by-nc-nd/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1415857562215Qu1NwQ4iyOWINvIw'}, {'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by-nc-nd/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/14158575685845YXzVpkM7YwD6kwH'}]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	True	Bouchet, Puillandre & Richer coll.	Sabroux R.	WGS84	Pycnogonida	MG	[]	[]	AFRICA	Madagascar	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-104	2011-104	MNHN	entre Nosy-bé et Banc du Leven	442597092	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-104		['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	1.0	322.0	31.0	2015-05-07T16:46:22.000+00:00	MIRIKY/CP3209	10.15468/qgvvhd	Madagascar																															
4399691066	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.172+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117229	1	54	354	9477065	2014	2117211	2117229	2117229	Pycnogonum africanum Calman, 1938	Pycnogonum africanum Calman, 1938	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum africanum	Pycnogonum	africanum	SPECIES	ACCEPTED	NE	-24.7006946	35.5166719	{}	1988.0	11.0	22.0	1988-11-22	327.0	327.0	['COORDINATE_REPROJECTED']	2024-06-18T12:44:59.172+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'c0d6af16-c3f6-4730-b9e3-49503978560c'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Vityaz II	Turpaeva, Elena	WGS84	Pycnogonida	MZ	[]	[]	AFRICA	Mozambique	EUROPE	c0d6af16-c3f6-4730-b9e3-49503978560c	INV0001342	IORAS	Indian ocean, polygon Zavora	4399691066	OBFc	c0d6af16-c3f6-4730-b9e3-49503978560c		['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	2.0				2626	fd699988-ab5d-4737-9443-9085cea191d2		Indian Ocean	EtOH 75%	Sigsbee Trawl	RV Vityaz II_cruise 17_st.2626	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	320.0 m	IORAS	cruise 17																							
1275071243	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.198+00:00	111	{}	PRESERVED_SPECIMEN	PRESENT	2117229	1	54	354	9477065	2014	2117211	2117229	2117229	Pycnogonum africanum Calman, 1938	Pycnogonum africanum Calman, 1938	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum africanum	Pycnogonum	africanum	SPECIES	ACCEPTED	NE	-33.081667	28.11	{}	1979.0	6.0	25.0	1979-06-25T00:00	176.0	176.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD']	2024-01-24T17:25:01.198+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071243'}]	[]	[]	[]			False	R/V Meiring Naude	F.Arnaud,1984	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	urn:catalog:IZIKO:SAM-A-10251	SAM-A-10251		33°04,9'S 28°06,6'E	1275071243		urn:catalog:IZIKO:SAM-A-10251			0.0									Heavy Dredge			0-630 m			SM185	Female	Catalogue																				
1275071252	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.305+00:00	111	{}	PRESERVED_SPECIMEN	PRESENT	2117229	1	54	354	9477065	2014	2117211	2117229	2117229	Pycnogonum africanum Calman, 1938	Pycnogonum africanum Calman, 1938	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum africanum	Pycnogonum	africanum	SPECIES	ACCEPTED	NE	-32.916667	28.516667	{}	1978.0	5.0	25.0	1978-05-25T00:00	145.0	145.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD']	2024-01-24T17:25:01.305+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071252'}]	[]	[]	[]			False	R/V Meiring Naude	F.Arnaud,1984	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	urn:catalog:IZIKO:SAM-A-10250	SAM-A-10250		32°55,0'S 28°31,0'E	1275071252		urn:catalog:IZIKO:SAM-A-10250			0.0									Heavy Dredge			0-90 m			SM226	Female	Catalogue																				
1322243655	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:56.920+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117229	1	54	354	9477065	2014	2117211	2117229	2117229	Pycnogonum africanum Calman, 1938	Pycnogonum africanum Calman, 1938	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum africanum	Pycnogonum	africanum	SPECIES	ACCEPTED	NE	-7.1167	39.65	{}	1974.0	11.0	1.0	1974-11-01	305.0	305.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:56.920+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3df0146e0-549b-4bba-9389-ff4577f5f0f9'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	Frazier	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	WGS84	Pycnogonida	TZ	[]	[]	AFRICA	Tanzania, United Republic of	NORTH_AMERICA	http://n2t.net/ark:/65665/3df0146e0-549b-4bba-9389-ff4577f5f0f9	USNM 180269	USNM	Dar Es Salaam, Off Kisiju	1322243655	IZ	http://n2t.net/ark:/65665/3df0146e0-549b-4bba-9389-ff4577f5f0f9		['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	2.0	240.0	0.0	2016-02-24T10:20:00.000+00:00		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		Indian Ocean	Alcohol (Ethanol)			urn:lsid:biocol.org:col:34871							FEMALE	Indian Ocean, Tanzania	NMNH Extant Biology	01 NOV 1974	unknown, from legacy	Degrees Minutes Seconds	72	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Pycnogonidae												
2434361470	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:37.053+00:00	393	{}	PRESERVED_SPECIMEN	PRESENT	2117229	1	54	354	9477065	2014	2117211	2117229	2117229	Pycnogonum africanum Calman, 1938	Pycnogonum africanum Calman, 1938	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum africanum	Pycnogonum	africanum	SPECIES	ACCEPTED	NE	-24.666667	35.466667	{}	1964.0	8.0	18.0	1964-08-18	231.0	231.0	['COORDINATE_ROUNDED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:37.053+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200943@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False		Stock J.H.	WGS84	Pycnogonida	MZ	[]	[]	AFRICA	Mozambique	EUROPE	ZMA.PYC.200943@CRS	ZMA.PYC.200943			2434361470	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200943		['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	3.0			2019-03-08T00:00:00.000+00:00					WholeOrganism (wet specimen)			Naturalis Biodiversity Center										18 aug 1964				Animalia|Pycnogonidae	Naturalis Biodiversity Center	ICZN										
1056198715	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:53.651+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1935 - 1962: page 34', 'http://purl.org/dc/terms/created': '1187778896000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/5e99ad8b-d626-44e3-9a48-87ee3a5d5119'}]}	PRESERVED_SPECIMEN	PRESENT	2117229	1	54	354	9477065	2014	2117211	2117229	2117229	Pycnogonum africanum Calman, 1938	Pycnogonum africanum Calman, 1938	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum africanum	Pycnogonum	africanum	SPECIES	ACCEPTED	NE			{}							['MODIFIED_DATE_INVALID', 'TYPE_STATUS_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:17:53.651+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1226953'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1935 - 1962: page 34', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/5e99ad8b-d626-44e3-9a48-87ee3a5d5119'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e		False				Pycnogonida		[]	[]			EUROPE	1226953	1937.12.14.35-36	NHMUK		1056198715	ZOO	223ea408-af8d-4220-a566-319f3da902b5		['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']					106, 119																					Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda			NHMUK:ecatalogue:1226953	"{""associatedMediaCount"": 1, ""barcode"": ""011021235"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1295881760000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Pycnogonum africanum"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": ""John Murray Expedition"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056198715"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR03"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"								
4152782650	d8cd16ba-bb74-4420-821e-083f2bac17c2	ada9d123-ddb4-467d-8891-806ea8d94230	17a83780-3060-4851-9d6f-029d5fcb81c9	fbca90e3-8aed-48b1-84e3-369afbd000ce	GB	EML	2024-07-20T12:06:08.628+00:00	2024-07-20T12:51:05.814+00:00	175	{}	PRESERVED_SPECIMEN	PRESENT	2117229	1	54	354	9477065	2014	2117211	2117229	2117229	Pycnogonum africanum Calman, 1938	Pycnogonum africanum Calman, 1938	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum africanum	Pycnogonum	africanum	SPECIES	ACCEPTED	NE	-12.71	48.24	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'PRESUMED_NEGATED_LONGITUDE', 'PRESUMED_NEGATED_LATITUDE', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-20T12:51:05.814+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	[{'identifier': 'OP985961'}]	[]	[]	[]			True			WGS84	Pycnogonida	MG	[]	[]	AFRICA	Madagascar	EUROPE	OP985961	MNHN-IU-2011-104			4152782650		OP985961	ASV:619198db71e505bd28947e035c501338																		UNVERIFIED: Pycnogonum africanum voucher MNHN-IU-2011-104 mitochondrion sequence, sequence.														https://www.ebi.ac.uk/ena/browser/view/OP985961	https://www.ebi.ac.uk/ena/browser/api/embl/OP985961	https://www.ebi.ac.uk/ena/browser/view/Taxon:3014705					
4055736442	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:06:39.951+00:00	81	{}	PRESERVED_SPECIMEN	PRESENT	2117229	1	54	354	9477065	2014	2117211	2117229	2117229	Pycnogonum africanum Calman, 1938	Pycnogonum africanum Calman, 1938	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum africanum	Pycnogonum	africanum	SPECIES	ACCEPTED	NE	-6.17	39.33	{'level0': {'gid': 'TZA', 'name': 'Tanzania'}, 'level1': {'gid': 'TZA.29_1', 'name': 'Kusini Unguja'}, 'level2': {'gid': 'TZA.29.1_1', 'name': 'Kati'}, 'level3': {'gid': 'TZA.29.1.2_1', 'name': 'Binguni'}}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-07-02T17:06:39.951+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_1339'}]	[]	[]	[]			False			WGS84	Pycnogonida	TZ	[]	[]	AFRICA	Tanzania, United Republic of	EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_1339	sm_id_1339	WoRMS Editorial Board	Indian Ocean	4055736442	WoRMS type localities	WoRMS Editorial Board:WoRMS type localities:sm_id_1339		['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		188.5	5.5	2007-06-20T15:52:33.000+00:00																											http://www.marinespecies.org/aphia.php?p=specdetails&id=1339			AFRICA	HOLOTYPE	https://marineinfo.org/id/dataset/5184	urn:lsid:marinespecies.org:taxname:239419	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pycnogonum (Nulloviger) africanum</i> Calman, 1938. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239419
